Name,Name2,Team,Season,Minutes,Primary Position,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV,Image key
Alison Hecnary González Esquivel - Tigres UANL,Alison Hecnary González Esquivel,Tigres UANL W,2023/2024,1037,Delantera,0.35,0.35,0.43,0.12,3.73,9,47,7,0,0.4,0.35,0.25,1.74,0.35,0.25,1.74,0,0,0,0.69,0.69,5.47,0.01,1.04,0.43,0.61,42,1.13,0,1.47,3.99,0.26,0.37,0.09,0.13,22.38,6.77,0.01,3.99,64.79,3.47,4.95,1.82,2.08,78,2.81,3.19,0.95,33,0.52,37,0.61,0,19.61,30.02,2.95,6.42,0.26,65.12,15.1,77,5.21,81,0,0,0,21.78,72,0.78,17,60,0.43,0.95,19,55,-17,64.75,1.82,0.66,1.15,23.86,80,3.61,8.76,2,2,0,0.61,8.24,10.24,0,39,0.95,41,0.78,18,69,12,21,69,10,15.33,13.93,0.98,102,-1.41,15.03,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,5.45,21,0.14,-0.04,0.05,0,0,0.15,
Angelina Nicole Hix,Angelina Nicole Hix,Tijuana W,2023/2024,913,Delantera,0.39,0.39,0.51,0.12,4.24,9,40,6,0,0.55,0.2,0.24,1.68,0.2,0.22,1.58,0,0.01,0.1,0.59,0.75,5.92,-0.16,2.56,1.58,0.99,62,0.39,0,2.37,4.24,0.3,0.32,0.49,0.37,18.44,6.8,0.01,2.66,61.23,5.23,7,1.18,1.48,67,0.86,1.18,2.17,0,0.59,42,1.08,0,15.09,13.64,2.17,3.85,0.3,63.25,11.24,75,3.06,79,0.2,0,0,24.36,58,1.08,29,48,1.08,1.68,31,72,14,66.44,3.16,0.64,0.98,29.58,79,6.56,8.18,1.77,1.08,0.69,1.08,7.79,8.87,0.39,39,1.18,44,1.18,14,77,9,12,75,13,17.4,14.17,0.94,105,-3.23,16.32,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,4.44,22,0.07,0.13,0.08,0.02,0,0.3,
Blanca Solís,Blanca Solís,Juárez W,2023/2024,872,Delantera,0.1,0.1,0.22,0.12,1.86,6,33,2,0,0.17,0.1,0.07,1.03,0.1,0.07,1.03,0,0,0,0.21,0.29,2.89,-0.09,1.75,1.13,0.62,65,1.24,0,2.27,4.64,0.31,0.39,0.62,0.62,21.15,7.43,0.01,3.2,59.46,2.99,5.67,0.83,1.13,44,0.66,1.04,0.83,50,1.03,57,3.4,0,19.81,21,2.58,3.71,0.31,61.02,13.93,70,2.79,75,0.1,0,0,28.16,65,0.93,9,53,0.83,1.55,35,62,-3,56.5,1.65,0.58,0.75,27.85,80,3.78,6.29,0.72,0.72,0,0.21,5.67,6.4,0.21,14,0.21,25,0.52,18,60,22,20,59,21,15.66,12.58,1.01,107,-3.07,15.83,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,4.3,30,-0.1,-0.08,-0.02,-0.09,0,-0.29,
Catalina Carvajal,Catalina Carvajal,Cruz Azul W,2023/2024,493,Delantera,0.55,0.37,0.51,0.22,2.37,15,46,4,100,0.45,0,0.04,1.1,0,0.04,1.1,0,0,0,0.37,0.56,3.47,-0.19,3.65,1.83,1.83,50,0.55,0,1.46,5.84,0.18,0.22,0.91,0.84,29.96,9.86,0,2.37,67.22,3.29,4.93,1.64,1.83,53,1.47,1.69,1.46,0,1.46,35,1.1,0,26.85,24.69,2.19,8.22,0.18,68.32,23.01,86,7.31,89,0,0,0,20.27,60,0.37,18,29,0.91,1.28,23,68,8,62.02,1.1,0.39,0.72,23.93,76,4.68,5.66,0,0,0,0.18,5.3,5.3,0.18,0,0,0,0.37,12,69,18,0,74,26,14.68,11.15,1.01,105,-3.53,14.78,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,2.26,16,0.01,0.03,0.04,-0.03,0,0.04,
Chinwendu Ihezuo - Pachuca,Chinwendu Ihezuo,Pachuca W,2023/2024,1753,Delantera,0.77,0.77,0.7,0.19,3.7,21,49,6,0,0.69,0.15,0.22,1.54,0.15,0.22,1.54,0,0,0,0.92,0.92,5.24,0,1.39,0.72,0.67,52,1.39,0.15,2.16,4.52,0.51,0.63,0.46,0.52,18.43,6.47,0.03,3.64,60.48,4.26,6.06,1.85,2.36,95,2.64,3.27,1.54,78,0.1,56,2.16,0,15.04,20.28,3.03,3.44,0.31,62.53,11.29,75,2.98,87,0.1,0,0,18.27,69,0.26,77,29,0.77,0.56,31,64,-5,67.88,1.59,0.9,1.22,21.56,73,4.6,8.06,0.46,0.46,0,0.77,9.65,10.11,0.1,44,0.51,36,1.13,15,65,20,11,65,24,14.61,14.19,0.97,100,-0.41,14.13,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,5.36,25,0.03,0.12,0.06,0.11,0,0.33,
Christina Burkenroad,Christina Burkenroad,Monterrey W,2023/2024,2286,Delantera,0.63,0.63,0.62,0.21,3.03,21,49,5,0,0.59,0.2,0.14,1.06,0.2,0.14,1.06,0,0,0,0.83,0.77,4.09,0.06,1.22,0.71,0.51,58,0.87,0,1.97,3.11,0.24,0.25,0.28,0.29,15.71,6.89,0.02,2.6,65.83,3.54,5.28,0.59,0.83,71,0.67,0.92,0.91,25,0.24,51,1.65,0,14.21,17.06,2.2,3.31,0.43,67.32,11.5,81,2.56,77,0.12,0,0,21.85,72,0.59,23,52,0.67,0.75,34,69,-3,59.73,2.17,0.57,0.99,23.19,81,4.49,7.28,0.59,0.55,0.04,0.35,7.2,7.76,0.28,27,0.2,29,0.87,15,63,23,17,65,18,15.77,14.53,0.97,97,-1.25,15.34,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,4.1,24,-0.04,-0.02,0.02,0.03,0,-0.01,
Daniela Carrandi - Atlético San Luis,Daniela Carrandi,Atlético San Luis W,2023/2024,1445,Delantera,0.06,0.06,0.11,0.05,1.99,3,25,3,0,0.07,0.12,0.22,1.43,0.06,0.18,1.25,0.06,0.03,0.19,0.19,0.32,3.42,-0.14,3.92,2.24,1.68,57,1.62,0,3.24,4.55,0.31,0.27,0.31,0.24,15.38,5.29,0.01,2.49,58.66,4.42,7.1,0.93,1.25,68,0.96,1.23,0.68,45,0.44,32,0.62,0,13.76,12.9,1.81,2.93,0.25,60.22,9.28,67,2.43,83,0,0,0,20.67,60,1.06,25,37,0.44,2.74,27,55,-5,61.61,3.36,0.21,0.41,27.71,75,6.77,6.23,0.93,0.56,0.37,0.25,3.05,3.61,0.12,40,0.5,21,0.5,21,65,14,21,64,15,17.69,13.93,0.93,104,-3.77,16.42,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,4.33,30,0.01,0.08,0.02,-0.06,0,0.06,
Daniela Espinosa,Daniela Espinosa,Tijuana W,2023/2024,3400,Delantera,0.42,0.32,0.4,0.13,3.07,10,36,5,67,0.36,0.16,0.16,1.61,0.16,0.15,1.59,0,0,0.03,0.48,0.56,4.69,-0.08,1.56,0.77,0.79,49,2.17,0.08,1.32,4.55,0.45,0.44,0.77,0.65,22.61,8.18,0.02,3.89,62.74,4.76,6.41,1.24,1.69,67,1.3,1.74,0.85,29,0.61,54,2.09,0,20.59,19.1,3.02,4.05,0.29,65.38,16.76,81,3.52,87,0.08,0.03,0,21.84,65,0.82,23,56,0.87,1.35,33,61,-3,61.74,2.54,0.53,0.85,23.32,80,5.13,7.33,0.74,0.58,0.16,0.53,6.7,7.28,0.19,25,0.26,29,0.98,17,67,17,14,73,13,15.73,13.23,1.02,104,-2.5,16.09,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,4.56,24,-0.01,0.11,0.06,-0.03,0,0.14,
Daniela Sánchez Velázquez,Daniela Sánchez Velázquez,Querétaro W,2023/2024,125,Delantera,0,0,0,0,0,0,0,0,0,0,0,0.02,0.72,0,0.02,0.72,0,0,0,0,0.02,0.72,-0.02,1.44,0.72,0.72,50,0.72,0,2.89,4.33,0,0,0,0,27.41,10.1,0.04,1.44,62.87,2.16,3.61,0,0,0,0,0,1.44,0,0.72,40,1.44,0,25.97,13.87,1.44,5.05,0,61.66,19.48,75,4.33,86,0.72,0,0,16.59,58,0.72,23,50,0,1.44,46,42,-16,56.92,0.72,0.06,0.08,17.31,67,3.44,3.61,0,0,0,0,2.16,2.16,0,0,0,0,0,23,58,19,40,60,0,14.26,10.54,1.04,124,-3.73,14.87,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,1.8,9,-0.12,-0.1,-0.08,0,0,-0.3,
Dayana Milan Martin,Dayana Milan Martin,América W,2023/2024,363,Delantera,0,0,0.5,0.12,4.21,0,53,5,0,0.29,0,0.06,0.99,0,0.06,0.99,0,0,0,0,0.55,5.2,-0.55,6.44,3.47,2.97,54,0.74,0,3.96,7.93,0.74,1.26,0.5,0.76,20.32,6.94,0.03,1.73,66.15,4.21,5.45,0.99,1.73,57,1.62,2.89,1.73,40,0.74,56,1.24,0,17.59,26.51,1.73,3.72,0,66.08,13.13,75,3.47,93,0,0,0,19.82,59,0.74,24,38,1.24,1.24,22,61,3,67.13,0.99,0.74,0.97,32.71,65,7.29,6.44,0.74,0.74,0,0.25,7.93,8.67,0.25,100,0.99,29,0,7,74,18,4,77,19,18.36,18.2,0.88,116,-0.17,16.25,21.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,4.01,21,-0.05,0.02,0.03,-0.22,0,-0.22,
